FILE_INFO,,,,,,,
ListSeparator=comma,,,,,,,
DecimalSeparator=period,,,,,,,
,,,,,,,
SESSION_INFO,,,,,,,
TimeZone,GMT,,,,,,
TimeZoneOffset,0,,,,,,
DateTimeFormat,dd/MM/yyyy HH:mm:ss.nnn,,,,,,
StartTime,39:48.8,,,,,,
TimeFormat,Absolute,,,,,,
TimeSource,PC,,,,,,
,,,,,,,
DEVICE_INFO,,,,,,,
Port,COM 5,,,,,,
BaseSerial,2615-1218,,,,,,
Address,417,,,,,,
ModelName,G-Link 2G,,,,,,
SerialNumber,2313--1431699456,,,,,,
FirmwareVersion,6.03,,,,,,
,,,,,,,
CHANNEL_INFO,,,,,,,
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied
Tick,Timer Tick,10Hz,,,tick,tick,
ch1,Channel Data,10Hz,result = ([slope] * data) + [offset],[slope]=236 [offset]=2028,G,G,Node Commander v2.17.0
ch2,Channel Data,10Hz,result = ([slope] * data) + [offset],[slope]=237 [offset]=1993,G,G,Node Commander v2.17.0
ch3,Channel Data,10Hz,result = ([slope] * data) + [offset],[slope]=234 [offset]=2017,G,G,Node Commander v2.17.0
Base RSSI,Signal Strength,10Hz,result = data,,dBm,dBm,
,,,,,,,
54:42.9,95,-0.343220339,-0.206751055,-1.166666667,-69,,
54:43.0,96,-0.351694915,-0.215189873,-1.188034188,-69,,
54:43.1,97,-0.360169492,-0.215189873,-1.170940171,-71,,
54:43.2,98,-0.355932203,-0.227848101,-1.188034188,-73,,
54:43.4,100,-0.343220339,-0.219409283,-1.183760684,-70,,
54:43.5,101,-0.347457627,-0.219409283,-1.179487179,-68,,
54:43.6,102,-0.338983051,-0.232067511,-1.170940171,-67,,
54:43.7,103,-0.338983051,-0.23628692,-1.166666667,-69,,
54:43.9,105,-0.347457627,-0.215189873,-1.170940171,-75,,
54:44.0,106,-0.360169492,-0.227848101,-1.170940171,-71,,
54:44.2,108,-0.343220339,-0.210970464,-1.179487179,-69,,
54:44.3,109,-0.343220339,-0.219409283,-1.166666667,-68,,
54:44.4,110,-0.343220339,-0.227848101,-1.188034188,-73,,
54:44.5,111,-0.36440678,-0.219409283,-1.188034188,-77,,
54:44.6,112,-0.360169492,-0.223628692,-1.188034188,-71,,
54:44.7,113,-0.343220339,-0.248945148,-1.170940171,-73,,
54:44.8,114,-0.343220339,-0.215189873,-1.175213675,-73,,
54:44.9,115,-0.360169492,-0.206751055,-1.179487179,-71,,
54:45.0,116,-0.36440678,-0.23628692,-1.158119658,-72,,
